country,SFTGcode,COW,risk_in_2020,risk_in_2020_21,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Togo,TOG,461,0.006737,0.009247,0,0,1,0,0,0,0,4.094344562,15.90519521,6.884765791,5.312535005,1,1,0,0.71,0,0,4,2,4,0,1,1,0.357,0,0,0,0,-0.136,4.266069259,0
Democratic Republic of Vietnam,VIE,816,0.006718,0.008435,0,1,0,1,0,0,0,3.784189634,18.38466081,4.062019202,7.017434882,0,1,0,0.24,0,1,0,2,2,0,1,1,0.41,0,0,0,1,0.123,5.349011647,0
Comoros,COM,581,0.00671,0.007209,0,0,1,0,0,0,0,3.80666249,13.65403344,7.162401832,2.715259465,0,1,0,0,0,1,3,1,2,0,0,0,0.38,0,0,0,0,1.599,3.763395874,0
Sri Lanka,SRI,780,0.006596,0.01198,0,1,0,0,0,0,1,3.871201011,16.89755813,2.529822128,2.283465301,1,1,0,0.42,0,1,4,0,3,0,1,1,0.781,0,0,0,1,0.702,3.958350398,0
United States of America,USA,2,0.006521,0.01009,0,0,0,0,0,0,0,5.468060141,19.60925415,2.366431913,2.333577492,0,1,0,0.49,3.63758616,1,4,1,4,0,1,1,0.876,0,1,0,0,0.581,3.314036278,0
Turkmenistan,TKM,701,0.006469,0.006515,0,0,0,0,0,0,1,3.36729583,15.59757131,6.268971207,0.065,1,1,1,0.39,0,1,0,1,1,0,0,0,0.14,0,1,0,1,-0.969,3.56000551,0
Argentina,ARG,160,0.006306,0.008824,0,1,0,0,0,0,0,5.318119994,17.62081016,2.966479395,-2.162952121,1,1,0,0.26,0,1,4,1,4,0,1,1,0.915,0,0,0,0,0.967,3.477962909,0
Azerbaijan,AZE,373,0.006286,0.008374,0,1,0,0,1,0,0,3.36729583,16.12042474,4.38178046,2.218704277,1,1,1,0.2,0,1,4,1,2,0,1,0,0.396,0,0,0,1,-1.544,4.454857376,0
Mauritania,MAA,435,0.006261,0.007926,0,0,1,0,0,0,0,4.094344562,15.32528194,7.176350047,5.930510885,0,1,1,0.62,0,1,3,1,2,0,1,0,0.777,0,0,0,1,-1.458,4.545615636,0
Kyrgyzstan,KYR,703,0.006203,0.008282,0,0,0,0,0,0,1,3.36729583,15.68065988,4.110960958,4.507138923,1,1,0,0.68,0,1,4,1,3,0,1,0,0.675,0,0,0,1,0.275,4.635553877,0
Dominican Republic,DOM,42,0.006126,0.00816,0,1,0,0,0,0,0,5.043425117,16.18938862,4.909175083,5.087176037,1,1,0,0.43,0,1,4,1,4,0,1,1,0.938,1,0,0,0,0.682,3.969544504,0
Cambodia,CAM,811,0.006029,0.00923,0,1,0,1,0,0,0,4.204692619,16.61805497,4.898979486,7.054106932,0,1,1,0.21,0,1,3,0,3,0,1,1,0.331,0,0,0,1,-1.232,4.816698734,0
Swaziland,SWA,572,0.005972,0.005922,0,0,1,0,0,0,0,3.951243719,13.95364509,6.557438524,2.013918405,0,1,1,0.06,0,1,1,1,2,0,0,0,0.183,0,0,0,1,-1.206,4.435725462,0
Bahrain,BAH,692,0.005917,0.01444,0,0,0,0,0,1,0,3.891820298,14.31092118,2.469817807,1.819569006,0,1,1,0.5,0,0,3,1,2,0,0,0,0.218,1,0,1,1,-1.914,5.019957403,0
Venezuela,VEN,101,0.005811,0.006741,0,0,0,0,0,0,0,5.247024072,17.16596989,4.626013402,-0.14,1,1,1,0.5,0,1,3,1,3,0,1,1,0.328,0,0,0,1,1.183,-2.113593489,0
Gabon,GAB,481,0.005807,0.00919,0,0,1,0,0,0,0,4.094344562,14.5914255,5.718391382,3.394110152,0,1,0,0.77,0,1,4,1,4,0,1,1,0.896,0,0,0,1,0.386,4.289625652,1
Kazakhstan,KZK,705,0.005806,0.00591,0,0,0,0,0,0,1,3.36729583,16.73403398,2.966479395,4.5,1,1,0,0.62,0,0,2,1,2,0,1,0,0.568,0,0,0,0,-0.58,4.16560274,0
Guinea-Bissau,GNB,404,0.005462,0.007265,0,0,1,0,0,0,0,3.828641396,14.46831584,7.348469228,4.600094045,1,1,0,0.81,0,1,4,1,4,0,1,1,0.73,0,0,0,1,-0.253,4.043201359,0
Malaysia,MAL,820,0.005458,0.008207,0,0,0,1,0,0,0,4.143134726,17.27967576,2.588435821,4.330218416,0,1,1,0.59,0,1,4,1,3,0,1,1,0.642,0,0,0,1,1.251,4.812923518,0
Canada,CAN,20,0.005353,0.006353,0,0,0,0,0,0,0,5.030437921,17.44222898,2.073644135,1.656040854,1,1,0,0.71,0,1,4,1,4,0,1,1,0.959,0,0,0,0,2.054,4.174028813,0
Benin,BEN,434,0.005302,0.006952,0,0,1,0,0,0,0,4.094344562,16.28370763,7.778174593,6.865687335,1,1,0,0.79,0,1,4,1,4,0,1,1,0.725,0,1,0,0,1.137,4.153891463,0
Saudi Arabia,SAU,670,0.005209,0.007841,0,0,0,0,0,1,0,4.477336814,17.34973794,2.449489743,0.331435727,0,1,1,0.18,0,1,0,1,0,0,0,0,0.232,0,1,0,1,-1.206,4.129761113,0
Ghana,GHA,452,0.005074,0.006964,0,0,1,0,0,0,0,4.143134726,17.23054036,5.907622195,6.478394805,1,1,0,0.67,0,1,4,2,4,0,1,1,0.866,0,1,0,0,0.741,4.267992372,0
Cuba,CUB,40,0.004869,0.004617,0,1,0,0,0,0,0,5.023880521,16.243272,1.923538406,0.016,0,1,0,0.59,0,1,0,1,3,0,0,0,0.248,0,1,0,0,1.287,3.299340654,0
Djibouti,DJI,522,0.004712,0.004134,0,0,1,0,0,0,0,3.761200116,13.78871474,7.056911506,7.470318422,1,1,0,0.8,0,1,3,1,2,0,1,0,0.514,0,0,0,0,-0.71,5.697986667,0
Israel,ISR,666,0.00471,0.00826,0,0,0,0,0,1,0,4.276666119,16.01863989,1.732050808,3.514084546,0,1,0,0.34,3.931825633,1,4,1,4,0,1,1,0.808,0,0,0,0,0.834,4.068421984,0
Honduras,HON,91,0.004573,0.004543,0,0,0,0,0,0,0,5.204006687,16.09237951,3.885871846,2.65276116,1,1,0,0.19,0,1,4,0,4,0,1,0,0.626,0,0,0,1,-1.373,4.570716943,0
Bosnia and Herzegovina,BOS,346,0.004515,0.005282,0,1,0,0,1,0,0,3.33220451,15.00973601,2.236067977,2.582627866,1,1,0,0.63,0,1,4,1,4,0,1,0,0.657,0,0,0,1,0.454,4.563103858,0
Jordan,JOR,663,0.004454,0.009744,0,1,0,0,0,1,0,4.304065093,16.12821369,3.728270376,2,0,1,1,0.59,0,1,4,1,3,0,1,0,0.727,0,1,0,1,0.639,4.472976959,0
Namibia,NAM,565,0.004434,0.005402,0,0,1,0,0,0,0,3.401197382,14.72961089,5.385164807,-1.134097952,1,1,0,0.63,0,1,4,1,4,0,1,1,0.831,0,0,0,1,1.17,4.424553951,0
Tunisia,TUN,616,0.004425,0.006962,0,0,0,0,0,1,0,4.158883083,16.27464793,3.820994635,1.042780016,1,1,0,0.04,0,1,4,2,3,0,1,1,0.757,0,0,0,0,1.423,4.705333907,0
Papua New Guinea,PNG,910,0.004243,0.006067,0,1,0,1,0,0,0,3.80666249,15.9875437,6.164414003,5.623797977,0,1,0,0.27,0,1,4,1,4,0,1,1,0.832,0,1,0,0,-0.273,-0.748760879,0
