country,SFTGcode,ISO3,COW,risk_in_2022,risk_in_2022_23,riskrank,1 in X chance,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Comoros,COM,COM,581,0.006693,0.009,69,108,0,0,1,0,0,0,0,3.850147602,13.93630429,6.870225615,0.012670755,0,1,0,0,0,0,4,1,2,0,0,0,0.65,0,0,0,0,1.013,-2.894102695,0
Gabon,GAB,GAB,481,0.00534,0.009,70,109,0,0,1,0,0,0,0,4.127134385,14.73372737,5.540758071,0.005727812,0,1,1,0.77,0,1,4,1,3,0,1,1,0.825,0,0,0,1,0.58,-2.042187927,1
Timor-Leste,ETM,TLS,860,0.00608,0.009,71,110,0,0,0,1,0,0,0,2.995732274,14.27245639,6.041522987,0.029583773,0,1,0,0.9,0,1,4,2,4,0,0,0,0.881,0,1,0,0,0.655,-1.165367337,0
Azerbaijan,AZE,AZE,373,0.006619,0.008,72,119,0,1,0,0,1,0,0,3.433987204,16.14690697,4.159326869,0.039473808,1,1,1,0.2,3.713572067,1,4,1,2,0,1,0,0.334,0,0,0,1,-1.753,-1.999496244,0
Senegal,SEN,SEN,433,0.005967,0.008,73,121,0,0,1,0,0,0,0,4.127134385,16.6646365,5.375872022,0.043301611,1,1,0,0.69,0,1,4,1,4,0,1,1,0.909,0,0,0,0,1.162,-2.210322204,0
Togo,TOG,TGO,461,0.006003,0.008,74,123,0,0,1,0,0,0,0,4.127134385,15.97215077,6.6633325,0.036676318,1,1,0,0.71,0,0,4,1,4,0,1,1,0.36,0,0,0,0,-0.892,-2.315010116,0
Malaysia,MAL,MYS,820,0.004914,0.008,75,124,0,0,0,1,0,0,0,4.17438727,17.30277249,2.720294102,0.019138514,0,1,1,0.59,0,1,4,1,2,0,1,1,0.585,0,0,0,1,0.293,-1.408775144,0
Argentina,ARG,ARG,160,0.006075,0.008,76,129,0,1,0,0,0,0,0,5.327876169,17.63537742,2.75680975,0.077909554,1,1,0,0.26,0,1,4,1,4,0,1,0,0.952,0,0,0,0,1.88,-2.914766003,0
Equatorial Guinea,EQG,GNQ,411,0.006193,0.008,77,129,0,1,1,0,0,0,0,3.988984047,14.33679886,7.635443668,-0.014469881,1,1,1,0.35,0,1,2,1,3,0,0,0,0.258,0,1,0,1,-1.105,-1.682085958,0
Saudi Arabia,SAU,SAU,670,0.004881,0.007,78,137,0,0,0,0,0,1,0,4.49980967,17.37755227,2.449489743,0.020031391,0,1,1,0.18,0,1,0,1,0,0,0,0,0.188,1,1,0,1,-1.72,-2.285197321,0
